comment_likes,short_code,productName,productUrl,comment_body,title,comment_year,comment_month,category,source,final_preprocessed_text,vader_scores_model1,sentiment_label_vader_model1,comment_text_cleaned,vader_sentiment_scores_model2,vader_compound_score_model2,vader_neg_score_model2,vader_neu_score_model2,vader_pos_score_model2,vader_sentiment_class_model2
15,4000203972,Agio Maricopa 7-piece Outdoor Sling Dining Set,https://www.costco.com/agio-maricopa-7-piece-outdoor-sling-dining-set.product.4000203972.html,"the patio dining set was delivered well packed , and appeared to be well made . however , once i started to put the chairs together , i knew i was in trouble . as was indicated by several other buyers , the holes in the different parts of the chairs did not match up . i really spent over 4 hours trying to assemble one chair ! i had to make the choice of using a drill to make the holes larger , or returning the set . i don't give up easily , but i decided to return the set .",Impossible to Assemble,2025,1,Product,Costco,patio dining set deliver packed appear start chair know trouble indicate buyer hole different part chair match spend hour try assemble chair choice drill hole large return set decide return set,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.4019}",negative,"the patio dining set was delivered well packed , and appeared to be well made . however , once i started to put the chairs together , i knew i was in trouble . as was indicated by several other buyers , the holes in the different parts of the chairs did not match up . i really spent over 4 hours trying to assemble one chair ! i had to make the choice of using a drill to make the holes larger , or returning the set . i don't give up easily , but i decided to return the set .","{'neg': 0.035, 'neu': 0.936, 'pos': 0.029, 'compound': -0.1431}",-0.1431,0.035,0.936,0.029,Negative
0,4000178952,Barcalounger Columbia Leather Power Recliner with Power Headrest,https://www.costco.com/barcalounger-columbia-leather-power-recliner-with-power-headrest.product.4000178952.html,"chair is ok , the leather is not 100 or if it is its low quality , the power mechanism is very slow and it takes a full nine seconds to close so if you have a package at the door forget it the guy will be gone before you can get out of the chair .",Reclining chair very slow to open and close,2024,2,Product,Costco,chair ok leather low quality power mechanism slow take second close package door forget guy go chair,"{'neg': 0.198, 'neu': 0.693, 'pos': 0.109, 'compound': -0.2023}",negative,"chair is ok , the leather is not 100 or if it is its low quality , the power mechanism is very slow and it takes a full nine seconds to close so if you have a package at the door forget it the guy will be gone before you can get out of the chair .","{'neg': 0.066, 'neu': 0.897, 'pos': 0.037, 'compound': -0.2023}",-0.2023,0.066,0.897,0.037,Negative
39,4000139585,Barcalounger Presley Leather Power Rocker Recliner with Power Headrest,https://www.costco.com/barcalounger-presley-leather-power-rocker-recliner-with-power-headrest.product.4000139585.html,"we bought this recliner in our local store , its a darker color than the one shown here but otherwise the same chair . it looks nice but is so wonky and uncomfortable i going to return it this weekend . when reclining i have to literally hold on to the arm rests , hoping not to slide off and i a big heavy person . then when i recline the footrest is so low its like i pitching forward . i tried putting a pillow under my feet and still feel like if i move ill slide forward and off the chair . its really odd , i don't understand how this chair leans so badly forward instead of backwards . when sitting wo reclining its also uncomfortable . weird chair is going back and ill be that strange woman in your costco , sitting in all the recliners before i commit to anther . its going to be a hassle to return and repurchase but i cant imagine using this chair for another week .",This recliner is a hot mess,2025,1,Product,Costco,buy recliner local store dark color show chair look nice wonky uncomfortable go return weekend recline hold arm rest hope slide big heavy person recline footrest low pitch try put pillow foot feel ill slide chair odd understand chair lean sit recline uncomfortable weird chair go ill strange woman costco sit recliner commit anther go hassle return repurchase imagine chair week,"{'neg': 0.244, 'neu': 0.653, 'pos': 0.103, 'compound': -0.8316}",negative,"we bought this recliner in our local store , its a darker color than the one shown here but otherwise the same chair . it looks nice but is so wonky and uncomfortable i going to return it this weekend . when reclining i have to literally hold on to the arm rests , hoping not to slide off and i a big heavy person . then when i recline the footrest is so low its like i pitching forward . i tried putting a pillow under my feet and still feel like if i move ill slide forward and off the chair . its really odd , i don't understand how this chair leans so badly forward instead of backwards . when sitting wo reclining its also uncomfortable . weird chair is going back and ill be that strange woman in your costco , sitting in all the recliners before i commit to anther . its going to be a hassle to return and repurchase but i cant imagine using this chair for another week .","{'neg': 0.148, 'neu': 0.771, 'pos': 0.081, 'compound': -0.9353}",-0.9353,0.148,0.771,0.081,Negative
0,4000109768,"Bosch 300 Series Front Control Pocket Handle Dishwasher, Stainless Steel Tub, Removable 3rd Rack, 46 dBa",https://www.costco.com/bosch-300-series-front-control-pocket-handle-dishwasher-stainless-steel-tub-removable-3rd-rack-46-dba.product.4000109768.html,no longer have a heating element for drying . plastic items are not dry period ! inside of unit stays wet . not what i expected from bosch,Disappointed in the drying.,2024,4,Product,Costco,heating element dry plastic item dry period unit stay wet expect,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,no longer have a heating element for drying . plastic items are not dry period ! inside of unit stays wet . not what i expected from bosch,"{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.3595}",-0.3595,0.084,0.916,0.0,Negative
7,4000198796,Café 49 dBa Double Drawer Dishwasher with Independent Wash Systems,https://www.costco.com/caf-49-dba-double-drawer-dishwasher-with-independent-wash-systems.product.4000198796.html,this dishwasher is very quiet and also very small . if you have a family this dishwasher will not work for you . also there is nothing on this dishwasher to tell you when its finished its washing and drying cycles .,Small dishwasher.,2025,1,Product,Costco,dishwasher quiet small family dishwasher work dishwasher tell finish washing dry cycle,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,this dishwasher is very quiet and also very small . if you have a family this dishwasher will not work for you . also there is nothing on this dishwasher to tell you when its finished its washing and drying cycles .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
2,4000203417,"Casper Cooling Select 12"" Memory Foam Mattress",https://www.costco.com/casper-cooling-select-12-memory-foam-mattress.product.4000203417.html,this is the best mattress were ever had ! we bought a king size & its perfect for me & my husband . your not disturbed when your partner rolls around or gets up !,Perfect Mattress!!,2024,5,Product,Costco,good mattress buy king size perfect husband disturb partner roll get,"{'neg': 0.156, 'neu': 0.462, 'pos': 0.382, 'compound': 0.5994}",positive,this is the best mattress were ever had ! we bought a king size & its perfect for me & my husband . your not disturbed when your partner rolls around or gets up !,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.8926}",0.8926,0.0,0.75,0.25,Positive
5,4000203417,"Casper Cooling Select 12"" Memory Foam Mattress",https://www.costco.com/casper-cooling-select-12-memory-foam-mattress.product.4000203417.html,it still has a weird chemical smell that i cant get rid of . i tried calling casper direct and they never call back . it gave me a bad headache the first day .. i disappointed i. the product and don't use it very much at all ..,Mattress has a permanent bad chemical smell,2023,4,Product,Costco,weird chemical smell rid try call direct give bad headache day disappoint product use,"{'neg': 0.418, 'neu': 0.582, 'pos': 0.0, 'compound': -0.7845}",negative,it still has a weird chemical smell that i cant get rid of . i tried calling casper direct and they never call back . it gave me a bad headache the first day .. i disappointed i. the product and don't use it very much at all ..,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.8074}",-0.8074,0.153,0.847,0.0,Negative
7,4000306118,Centr Multi-gym With 3-month Centr Membership,https://www.costco.com/centr-multi-gym-with-3-month-centr-membership.product.4000306118.html,"works ok , higher quality than my last home mufti gym . most exercises are self explanatory , but not all of them . it is ridiculous that you have to use their ape for instructions . instructions are nowhere to be found officially or unofficially online . it comes with a free trial of the ape , but this is borderline a scam since the ape is a paid subscription . i will never purchase from center again and would take it back if it want such a pain in the butt to return . also , the cable end is bigger than the installation manual picture suggests . i had to remove reinstalled wheels to fish the cable through the pulley system . very difficult to do with no instructions and kind of risky to modify the pulley system .",,2025,1,Product,Costco,work ok high quality home mufti gym exercise self explanatory ridiculous use ape instruction instruction find come free trial ape borderline scam ape pay subscription purchase center want pain butt return cable end big installation manual picture suggest remove reinstall wheel fish cable pulley system difficult instruction risky modify pulley system,"{'neg': 0.237, 'neu': 0.656, 'pos': 0.106, 'compound': -0.8126}",negative,"works ok , higher quality than my last home mufti gym . most exercises are self explanatory , but not all of them . it is ridiculous that you have to use their ape for instructions . instructions are nowhere to be found officially or unofficially online . it comes with a free trial of the ape , but this is borderline a scam since the ape is a paid subscription . i will never purchase from center again and would take it back if it want such a pain in the butt to return . also , the cable end is bigger than the installation manual picture suggests . i had to remove reinstalled wheels to fish the cable through the pulley system . very difficult to do with no instructions and kind of risky to modify the pulley system .","{'neg': 0.135, 'neu': 0.819, 'pos': 0.046, 'compound': -0.9467}",-0.9467,0.135,0.819,0.046,Negative
3,4000306118,Centr Multi-gym With 3-month Centr Membership,https://www.costco.com/centr-multi-gym-with-3-month-centr-membership.product.4000306118.html,"i bought this home gym at a warehouse for $ 499 , so that was an incredible deal . the box weighs about 300lbs and is fairly large , so a pickup truck is ideal for picking this thing up from the store . it definitely takes a couple people to load and unload . the assembly was easier than expected . all the hardware nuts and bolts were already paired together and numbered . the stepbystep guide made installation easy . you can use the tools that are provided , but if you have your own ratchet and socket set , it makes installation much faster . it took me about 1.5 2 hours to set this machine up , and it went very smoothly . this is a great home gym for someone who is looking to build confidence on machines or is trying to get into lifting weights without the pressure of going to a gym . its very easy to use and the 140lb stack of weights is enough for most people . you can use the ape if you want , or you can just watch youtube videos of people using similar equipment to see what exercises can be done on this machine and how to do them . there are all kinds of resources available for free online if you don't want the subscription . overall i would say that this is a great machine at a great price .",Great machine for the price!,2025,1,Product,Costco,buy home gym warehouse incredible deal box weigh large pickup truck ideal pick thing store take couple people load unload assembly easy expect hardware nut bolt pair number stepbystep guide installation easy use tool provide ratchet socket set make installation take hour set machine go great home gym look build confidence machine try lift weight pressure go gym easy use lb stack weight people use ape want watch youtube video people similar equipment exercise machine kind resource available free want subscription great machine great price,"{'neg': 0.02, 'neu': 0.637, 'pos': 0.343, 'compound': 0.9873}",positive,"i bought this home gym at a warehouse for $ 499 , so that was an incredible deal . the box weighs about 300lbs and is fairly large , so a pickup truck is ideal for picking this thing up from the store . it definitely takes a couple people to load and unload . the assembly was easier than expected . all the hardware nuts and bolts were already paired together and numbered . the stepbystep guide made installation easy . you can use the tools that are provided , but if you have your own ratchet and socket set , it makes installation much faster . it took me about 1.5 2 hours to set this machine up , and it went very smoothly . this is a great home gym for someone who is looking to build confidence on machines or is trying to get into lifting weights without the pressure of going to a gym . its very easy to use and the 140lb stack of weights is enough for most people . you can use the ape if you want , or you can just watch youtube videos of people using similar equipment to see what exercises can be done on this machine and how to do them . there are all kinds of resources available for free online if you don't want the subscription . overall i would say that this is a great machine at a great price .","{'neg': 0.011, 'neu': 0.838, 'pos': 0.151, 'compound': 0.9911}",0.9911,0.011,0.838,0.151,Positive
11,4000114985,Coddle Aria Fabric Sleeper Sofa with Chaise,https://www.costco.com/coddle-aria-fabric-sleeper-sofa-with-reversible-chaise-and-storage-beige.product.4000300506.html,"absolutely love this couch , and now my 31yo daughter has couch envy . we pull out the trundle on movie night or for the big game and everyone is comfy ! best price i had seen and costco quality . only thing id change ? the phone charger power cord isn't long enough to reach behind the couch to my outlet .. yes , i can get an extension cord , but if they put it in one arm , it should reach to the other side .",Best.Couch.Ever!,2024,6,Product,Costco,love couch daughter couch envy pull trundle movie night big game comfy good price see costco quality thing d change phone charger power cord long reach couch outlet extension cord arm reach,"{'neg': 0.055, 'neu': 0.703, 'pos': 0.242, 'compound': 0.7351}",positive,"absolutely love this couch , and now my 31yo daughter has couch envy . we pull out the trundle on movie night or for the big game and everyone is comfy ! best price i had seen and costco quality . only thing id change ? the phone charger power cord isn't long enough to reach behind the couch to my outlet .. yes , i can get an extension cord , but if they put it in one arm , it should reach to the other side .","{'neg': 0.016, 'neu': 0.881, 'pos': 0.103, 'compound': 0.7301}",0.7301,0.016,0.881,0.103,Positive
